dev,contributions,collaborators,knum,aknum,tenure,degree,popcon,psizes,bugs,deps,betweenness,closeness,degree_cent,packs_avg_degree,clus_sq,clus_dot,clus_red
D3048,257,64,4,4.3826458037,6,147,1777.95238095,15.9998384327,7.04761904762,9.62585034014,0.15010334388,0.123635476704,0.111027190332,3.04761904762,0.136406198085,0.0256549388689,0.267076693691
D3518,83,28,3,3.24574592267,4,22,815.818181818,14.1045581522,4.63636363636,6.09090909091,0.0272215916092,0.110525077173,0.0166163141994,2.59090909091,0.0255009107468,0.0243648285208,0.0606060606061
D3044,4,1,1,1,0,1,123.0,14.283432021,14.0,2.0,0.0,0.0787921980087,0.000755287009063,2.0,0.0,0.166666666667,0.0
D3517,6,0,1,1,4,1,1.0,13.1373859711,5.0,3.0,0.0,0.582886857863,0.000755287009063,1.0,0.0,0.0,0.0
D3512,8,2,1,1,0,1,851.0,13.3060806264,24.0,5.0,0.0,0.0741873258599,0.000755287009063,3.0,0.0,0.166666666667,0.0
D3510,4,6,2,2,0,2,2893.5,14.0827058266,8.5,11.5,0.000387311117902,0.0749353369584,0.00151057401813,4.0,0.0,0.265277777778,0.0
D3511,8,2,2,2,0,4,2.5,16.1921051415,1.5,6.75,0.000981152831367,0.0794448380194,0.00302114803625,2.0,0.5,0.0505279034691,0.5
D3190,4,4,1,1,4,1,57514.0,13.0800152189,14.0,16.0,0.0,0.0948541261932,0.000755287009063,5.0,0.0,0.00921650162502,0.0
D3191,4,1,2,2,4,2,25.0,13.5725239285,4.5,1.5,1.83273748335e-08,0.0690739838841,0.00151057401813,2.0,1.0,0.2,1.0
D3196,87,4,2,2,6,15,2932.33333333,14.7640258949,7.06666666667,5.33333333333,0.00859021774907,0.0910531364257,0.011329305136,1.53333333333,0.208333333333,0.0854363207547,0.0380952380952
D3198,187,15,3,3.42222222222,6,47,812.361702128,13.4160769366,4.04255319149,7.21276595745,0.0151192415408,0.101966062692,0.035498489426,2.44680851064,0.863067292645,0.0834979363519,1.0
